Name,Additional notes,Date,Day,Emotions,Happiness,Month,Month Focus,Picture :),Trois Truc Bien,Week,Week Focus,Words,Year,Year Focus
MAR 26 😴,,"March 26, 2022",,,,https://www.notion.so/March-d814be04f2e84a9bbc80daedba24309d,"When bored or have left over time, Do @Untitled ",Journal%2023470/26254FAB-B48D-443F-B47F-7216CC5131B3.jpeg,,https://www.notion.so/Mar-21-Mar-27-3c28f9e59a2a4756812843cd4a283e82,,,https://www.notion.so/2022-142ec0efa2ba499787d16443a97819c3,Get organised
MAR 25 🥳,,"March 25, 2022",Fri,Excited,✪✪✪✪✪,https://www.notion.so/March-d814be04f2e84a9bbc80daedba24309d,"When bored or have left over time, Do @Untitled ","Journal%2023470/FF5FDA78-6044-44B7-BAE2-E581E22C329B.gif, Journal%2023470/E6E8C0DB-B471-4238-ACAB-D4238F76BC1E.jpeg, Journal%2023470/6AD61CE3-A817-45B1-A492-5E60967EA18D.jpeg, Journal%2023470/trim.050713DE-1842-41CF-A403-BAFB2489DD8C.mov",She really liked the gifts. There were subtitles on the movie that we saw so Sarah could follow along.,https://www.notion.so/Mar-21-Mar-27-3c28f9e59a2a4756812843cd4a283e82,,,https://www.notion.so/2022-142ec0efa2ba499787d16443a97819c3,Get organised
MAR 24,,"March 24, 2022",Thu,Not Thinking Straight,✪✪✪,https://www.notion.so/March-d814be04f2e84a9bbc80daedba24309d,"When bored or have left over time, Do @Untitled ","Journal%2023470/E5C237BD-D69B-452E-A57B-C696A02D317F.jpeg, Journal%2023470/E89D8C19-A490-454B-BB2E-624A1AE85ECE.jpeg",,https://www.notion.so/Mar-21-Mar-27-3c28f9e59a2a4756812843cd4a283e82,,,https://www.notion.so/2022-142ec0efa2ba499787d16443a97819c3,Get organised
MAR 23,,"March 23, 2022",Wed,Annoyed,✪✪✪✪,https://www.notion.so/March-d814be04f2e84a9bbc80daedba24309d,"When bored or have left over time, Do @Untitled ",Journal%2023470/11CA3DF4-0566-44DA-A8CE-35845907C87F.jpeg,,https://www.notion.so/Mar-21-Mar-27-3c28f9e59a2a4756812843cd4a283e82,,"https://www.notion.so/Aptly-dfe01d939b5947b38362300e1ea6f86d, https://www.notion.so/Savvy-87f422ec5872442889a4635644b91542",https://www.notion.so/2022-142ec0efa2ba499787d16443a97819c3,Get organised
MAR 22,,"March 22, 2022",Tue,Bored,✪✪✪✪,https://www.notion.so/March-d814be04f2e84a9bbc80daedba24309d,"When bored or have left over time, Do @Untitled ",Journal%2023470/15051894-170C-4A15-956C-FFB2C2044DF7.jpeg,"The burger was acutally really good and the fires were crisp, good value for the money",https://www.notion.so/Mar-21-Mar-27-3c28f9e59a2a4756812843cd4a283e82,,https://www.notion.so/Foray-aa43aba741ca4225b396acc4ba79ca9d,https://www.notion.so/2022-142ec0efa2ba499787d16443a97819c3,Get organised
MAR 21,,"March 21, 2022",Mon,"Bad, Frustrated, Interested, Stressed",✪✪✪,https://www.notion.so/March-d814be04f2e84a9bbc80daedba24309d,"When bored or have left over time, Do @Untitled ","Journal%2023470/167762E8-C89E-42DB-889D-0FA8398CA311.jpeg, Journal%2023470/17B7380B-A083-4D34-BC6C-6D367A181A83.jpeg",Nice sundown. It was fun to play nonetheless. The day after I didn’t feel tired.,https://www.notion.so/Mar-21-Mar-27-3c28f9e59a2a4756812843cd4a283e82,,"https://www.notion.so/Ambiguity-a52184a25c5e432c95172bbc119fdec4, https://www.notion.so/Dictum-f1e83d275a6f4436a67222d51c277563, https://www.notion.so/Axiom-f8d66120d93446bebb4d80209bf03745, https://www.notion.so/Conglomerate-afc9fe2efd574bf695c5c0e8ba9a1552",https://www.notion.so/2022-142ec0efa2ba499787d16443a97819c3,Get organised
MAR 20,,"March 20, 2022",Sun,"Content, Happy",✪✪✪✪✪,https://www.notion.so/March-d814be04f2e84a9bbc80daedba24309d,"When bored or have left over time, Do @Untitled ","Journal%2023470/5B953F38-BA05-4AB3-98BB-B6DCE3558290.jpeg, Journal%2023470/04E61C4E-25AE-471E-803B-ED894B20584D.jpeg",I found something that I really liked and had been searching for a trench coat.,https://www.notion.so/Mar-14-Mar-20-9ccbd375a2ce4c01aac948db0a5a4a83,,,https://www.notion.so/2022-142ec0efa2ba499787d16443a97819c3,Get organised
MAR 19,I want to go for walks in the morning more often,"March 19, 2022",Sat,Sick,✪✪✪,https://www.notion.so/March-d814be04f2e84a9bbc80daedba24309d,"When bored or have left over time, Do @Untitled ",Journal%2023470/49A5ED6E-8886-42E5-9200-699CB0FFAAF2.jpeg,Sarah wanted to take care of me when i was sick,https://www.notion.so/Mar-14-Mar-20-9ccbd375a2ce4c01aac948db0a5a4a83,,,https://www.notion.so/2022-142ec0efa2ba499787d16443a97819c3,Get organised
MAR 18,,"March 18, 2022",Fri,"Anxious, Bad, Frustrated, Sad",✪✪,https://www.notion.so/March-d814be04f2e84a9bbc80daedba24309d,"When bored or have left over time, Do @Untitled ",Journal%2023470/29DC9FE3-CED2-4474-BC93-026DA80F439C.gif,,https://www.notion.so/Mar-14-Mar-20-9ccbd375a2ce4c01aac948db0a5a4a83,,,https://www.notion.so/2022-142ec0efa2ba499787d16443a97819c3,Get organised
MAR 17,,"March 17, 2022",Thu,"Appreciative, Content",✪✪✪✪,https://www.notion.so/March-d814be04f2e84a9bbc80daedba24309d,"When bored or have left over time, Do @Untitled ",Journal%2023470/EB72D587-DFD9-4761-99B2-3344B576EFF0.jpeg,,https://www.notion.so/Mar-14-Mar-20-9ccbd375a2ce4c01aac948db0a5a4a83,,,https://www.notion.so/2022-142ec0efa2ba499787d16443a97819c3,Get organised
